maxtemp,power,mintemp,weather,date,wind
19,微风,10,多云,2011-01-01,无持续风向
19,微风,11,多云,2011-01-02,无持续风向
18,微风,12,多云,2011-01-03,无持续风向
19,微风,8,小雨,2011-01-04,无持续风向
16,微风~3-4级,9,多云,2011-01-05,无持续风向~北风
16,微风,9,晴,2011-01-06,无持续风向
18,微风,10,多云,2011-01-07,无持续风向
16,微风,9,多云,2011-01-08,无持续风向
12,微风,6,阵雨,2011-01-09,无持续风向
9,微风,6,小到中雨~小雨,2011-01-10,无持续风向
10,微风,8,阵雨,2011-01-11,无持续风向
14,微风,7,小雨,2011-01-12,无持续风向
15,微风,10,阵雨~阴,2011-01-13,无持续风向
12,3-4级,5,多云,2011-01-14,东北风
14,微风,9,晴~多云,2011-01-15,无持续风向
14,微风,5,多云~阴,2011-01-16,无持续风向
16,微风,9,多云,2011-01-26,无持续风向
13,3-4级,5,多云,2011-01-29,北风
14,3-4级,5,多云,2011-01-30,北风
16,微风,8,晴~多云,2011-01-31,无持续风向
17,微风,8,多云,2011-02-01,无持续风向
18,微风,10,多云,2011-02-02,无持续风向
21,微风,11,多云,2011-02-03,无持续风向
23,微风,9,晴~多云,2011-02-04,无持续风向
25,微风,10,晴,2011-02-05,无持续风向
25,微风,11,晴~多云,2011-02-06,无持续风向
26,微风,14,多云,2011-02-07,无持续风向
26,微风,13,多云,2011-02-08,无持续风向
24,微风,15,多云,2011-02-09,无持续风向
26,微风,12,多云~小雨,2011-02-10,无持续风向
15,3-4级,10,阴,2011-02-11,北风
14,微风,9,阴~小雨,2011-02-12,无持续风向
10,微风,6,中雨~小雨,2011-02-13,无持续风向
14,微风,7,阴,2011-02-14,无持续风向
9,微风,6,小雨,2011-02-15,无持续风向
11,微风,9,小雨~阴,2011-02-16,无持续风向
14,微风,9,雾,2011-02-17,无持续风向
14,微风,10,阴~小雨,2011-02-18,无持续风向
10,微风,8,小雨,2011-02-19,无持续风向
15,微风,10,阴,2011-02-20,无持续风向
17,微风,14,阴~多云,2011-02-21,无持续风向
19,微风,14,小雨~多云,2011-02-22,无持续风向
20,微风,15,多云~阴,2011-02-23,无持续风向
21,微风,14,多云,2011-02-24,无持续风向
26,微风,14,多云,2011-02-25,无持续风向
25,微风,18,多云,2011-02-26,无持续风向
25,微风,18,多云,2011-02-27,无持续风向
27,微风,17,晴~多云,2011-02-28,无持续风向
25,微风,13,多云,2011-03-01,无持续风向
19,3-4级~微风,12,多云~阴,2011-03-02,北风~无持续风向
22,微风,12,多云,2011-03-03,无持续风向
21,微风,12,多云,2011-03-04,无持续风向
23,微风,15,多云~阴,2011-03-05,无持续风向
23,微风~3-4级,14,阴~小雨,2011-03-06,无持续风向~北风
17,3-4级,12,阴,2011-03-07,北风
19,微风,12,小雨,2011-03-08,无持续风向
16,微风~3-4级,12,小雨,2011-03-09,无持续风向~北风
17,微风,13,小雨~阴,2011-03-10,无持续风向
19,微风,13,多云,2011-03-11,无持续风向
19,微风,15,多云,2011-03-12,无持续风向
25,微风,15,多云,2011-03-13,无持续风向
26,微风,17,多云,2011-03-14,无持续风向
22,4-5级~3-4级,11,多云,2011-03-15,北风
15,4-5级~3-4级,10,阴,2011-03-16,北风
19,3-4级~微风,13,多云~小雨,2011-03-17,北风~无持续风向
15,微风,11,小到中雨~中雨,2011-03-18,无持续风向
16,微风,12,小雨,2011-03-19,无持续风向
21,微风,17,多云,2011-03-20,无持续风向
27,微风,18,阴~小雨,2011-03-21,无持续风向
15,3-4级,11,阴~小雨,2011-03-22,北风
18,3-4级,11,多云~阴,2011-03-23,北风
17,微风,13,阴~多云,2011-03-24,无持续风向
18,微风,13,多云,2011-03-25,无持续风向
20,微风,14,阴,2011-03-26,无持续风向
15,微风,10,小雨~阴,2011-03-27,无持续风向
22,微风,12,多云,2011-03-28,无持续风向
25,微风,12,多云,2011-03-29,无持续风向
21,微风,13,阴,2011-03-30,无持续风向
25,微风,15,多云,2011-03-31,无持续风向
27,微风,16,多云,2011-04-01,无持续风向
28,微风,17,多云,2011-04-02,无持续风向
28,微风,14,多云~小雨,2011-04-03,无持续风向
19,微风,15,阴~多云,2011-04-04,无持续风向
23,微风,16,多云,2011-04-05,无持续风向
24,微风,17,多云,2011-04-06,无持续风向
26,微风,17,多云,2011-04-07,无持续风向
27,微风,18,多云,2011-04-08,无持续风向
28,微风,18,多云,2011-04-09,无持续风向
29,微风,18,多云,2011-04-10,无持续风向
31,微风,18,晴~多云,2011-04-11,无持续风向
28,微风,19,多云,2011-04-12,无持续风向
29,微风,20,多云,2011-04-13,无持续风向
31,微风,19,多云,2011-04-14,无持续风向
31,微风,19,多云,2011-04-15,无持续风向
32,微风~3-4级,21,多云~雷阵雨,2011-04-16,无持续风向~北风
27,微风~3-4级,21,大到暴雨~阵雨,2011-04-17,无持续风向~北风
29,微风,18,多云,2011-04-18,无持续风向
28,微风,18,晴~多云,2011-04-19,无持续风向
32,微风,19,晴~多云,2011-04-20,无持续风向
27,微风,21,多云,2011-04-21,无持续风向
27,微风,18,雷阵雨~阴,2011-04-22,无持续风向
29,微风,18,多云,2011-04-23,无持续风向
29,微风,18,多云,2011-04-24,无持续风向
31,微风,18,多云,2011-04-25,无持续风向
31,微风,20,多云,2011-04-26,无持续风向
31,微风,22,多云,2011-04-27,无持续风向
32,微风,23,多云,2011-04-28,无持续风向
26,微风,22,小雨~阵雨,2011-04-29,无持续风向
28,微风,23,阵雨,2011-04-30,无持续风向
28,微风,23,阵雨,2011-05-01,无持续风向
29,微风,25,阵雨,2011-05-02,无持续风向
27,微风,20,中雨~小到中雨,2011-05-03,无持续风向
23,微风,18,阵雨,2011-05-04,无持续风向
25,微风,20,阵雨,2011-05-05,无持续风向
28,微风,24,阵雨,2011-05-06,无持续风向
30,微风,24,阵雨~多云,2011-05-07,无持续风向
30,微风,24,阵雨,2011-05-08,无持续风向
32,微风,24,多云,2011-05-09,无持续风向
34,微风,26,多云,2011-05-10,无持续风向
31,微风,25,雷阵雨~中到大雨,2011-05-11,无持续风向
32,微风,23,中雨~中到大雨,2011-05-12,无持续风向
25,微风,22,中到大雨,2011-05-13,无持续风向
26,微风,22,雷阵雨,2011-05-14,无持续风向
26,微风,22,阵雨,2011-05-15,无持续风向
27,微风,22,中到大雨~阵雨,2011-05-16,无持续风向
29,微风,20,晴,2011-05-17,无持续风向
31,微风,21,多云,2011-05-18,无持续风向
31,微风,20,晴~多云,2011-05-19,无持续风向
32,微风,23,多云,2011-05-20,无持续风向
31,微风,23,多云~阵雨,2011-05-21,无持续风向
26,微风,21,暴雨,2011-05-22,无持续风向
25,微风,20,阴,2011-05-23,无持续风向
27,微风,20,多云,2011-05-24,无持续风向
28,微风,22,多云,2011-05-25,无持续风向
30,微风,21,晴,2011-05-26,无持续风向
31,微风,23,多云,2011-05-27,无持续风向
33,微风,22,晴,2011-05-28,无持续风向
34,微风,21,晴,2011-05-29,无持续风向
33,微风,23,多云,2011-05-30,无持续风向
34,微风,21,晴,2011-05-31,无持续风向
35,微风,22,晴~多云,2011-06-01,无持续风向
34,微风,26,多云,2011-06-02,无持续风向
33,微风,26,多云,2011-06-03,无持续风向
33,微风,27,多云,2011-06-04,无持续风向
33,微风,27,阴~阵雨,2011-06-05,无持续风向
34,微风,27,阵雨~多云,2011-06-06,无持续风向
33,微风,27,阵雨,2011-06-07,无持续风向
33,微风,26,阵雨,2011-06-08,无持续风向
34,微风,27,阵雨~多云,2011-06-09,无持续风向
35,微风~3-4级,27,多云,2011-06-10,无持续风向~东风
33,微风,26,阵雨,2011-06-11,无持续风向
29,微风,25,雷阵雨~阵雨,2011-06-12,无持续风向
32,微风,26,雷阵雨~多云,2011-06-13,无持续风向
34,微风,26,雷阵雨~多云,2011-06-14,无持续风向
34,微风,26,阵雨,2011-06-15,无持续风向
30,微风,23,中到大雨~暴雨,2011-06-16,无持续风向
29,3-4级,25,大到暴雨~中到大雨,2011-06-17,东南风
31,微风,26,雷阵雨~阵雨,2011-06-18,无持续风向
33,微风,25,多云,2011-06-19,无持续风向
35,微风,26,多云,2011-06-20,无持续风向
35,微风,25,多云,2011-06-21,无持续风向
32,3-4级~4-5级,24,中雨~大到暴雨,2011-06-22,东北风~东南风
30,3-4级~微风,25,中雨,2011-06-23,东南风~无持续风向
33,微风,26,阵雨,2011-06-24,无持续风向
34,微风,25,阵雨,2011-06-25,无持续风向
29,微风,24,大到暴雨~雷阵雨,2011-06-26,无持续风向
32,微风,26,阵雨~中雨,2011-06-27,无持续风向
33,微风,25,雷阵雨~中到大雨,2011-06-28,无持续风向
29,微风,25,暴雨,2011-06-29,无持续风向
29,微风,25,中到大雨~中雨,2011-06-30,无持续风向
31,微风,26,雷阵雨~多云,2011-07-01,无持续风向
34,微风,26,多云~晴,2011-07-02,无持续风向
35,微风,26,晴,2011-07-03,无持续风向
35,微风,26,晴,2011-07-04,无持续风向
35,微风,26,晴,2011-07-05,无持续风向
35,微风,26,晴,2011-07-06,无持续风向
35,微风,27,晴,2011-07-07,无持续风向
35,微风,26,晴,2011-07-08,无持续风向
35,微风,27,多云,2011-07-09,无持续风向
33,微风,25,雷阵雨~阴,2011-07-10,无持续风向
32,微风,24,雷阵雨,2011-07-11,无持续风向
33,微风,25,雷阵雨,2011-07-12,无持续风向
33,微风,26,雷阵雨,2011-07-13,无持续风向
33,微风,26,雷阵雨,2011-07-14,无持续风向
30,微风,25,大到暴雨~暴雨,2011-07-15,无持续风向
28,微风,25,暴雨~大雨,2011-07-16,无持续风向
30,微风,26,大雨~中雨,2011-07-17,无持续风向
33,微风,26,中雨~中到大雨,2011-07-18,无持续风向
32,微风,25,雷阵雨~阵雨,2011-07-19,无持续风向
31,微风,25,大雨~中到大雨,2011-07-20,无持续风向
32,微风,25,雷阵雨~阵雨,2011-07-21,无持续风向
34,微风,26,多云,2011-07-22,无持续风向
35,微风,26,晴,2011-07-23,无持续风向
35,微风,26,晴,2011-07-24,无持续风向
36,微风,26,晴,2011-07-25,无持续风向
35,微风,27,多云~晴,2011-07-26,无持续风向
35,微风,26,晴,2011-07-27,无持续风向
35,微风,25,晴~雷阵雨,2011-07-28,无持续风向
32,3-4级,25,中雨,2011-07-29,东风~东北风
33,微风,26,阵雨~多云,2011-07-30,无持续风向
33,微风,25,阵雨,2011-07-31,无持续风向
33,微风,24,阵雨~多云,2011-08-01,无持续风向
35,微风,26,多云~晴,2011-08-02,无持续风向
36,微风,25,晴,2011-08-03,无持续风向
36,微风,25,晴,2011-08-04,无持续风向
36,微风,26,晴,2011-08-05,无持续风向
35,微风,26,多云,2011-08-06,无持续风向
34,微风,26,多云,2011-08-07,无持续风向
34,微风,27,雷阵雨~阵雨,2011-08-08,无持续风向
30,微风,25,中到大雨,2011-08-09,无持续风向
30,微风,25,中雨~雷阵雨,2011-08-10,无持续风向
30,微风,26,阵雨,2011-08-11,无持续风向
34,微风,26,阵雨~多云,2011-08-12,无持续风向
35,微风,26,晴,2011-08-13,无持续风向
35,微风,26,晴,2011-08-14,无持续风向
35,微风,25,晴,2011-08-15,无持续风向
35,微风,26,晴~多云,2011-08-16,无持续风向
35,微风,26,晴,2011-08-17,无持续风向
35,微风,26,多云,2011-08-18,无持续风向
35,微风,25,多云~雷阵雨,2011-08-19,无持续风向
35,微风,25,阵雨~多云,2011-08-20,无持续风向
35,微风,25,多云~晴,2011-08-21,无持续风向
35,微风,25,雷阵雨~多云,2011-08-22,无持续风向
35,微风,25,多云,2011-08-23,无持续风向
34,微风,26,雷阵雨,2011-08-24,无持续风向
34,微风,25,雷阵雨~多云,2011-08-25,无持续风向
35,微风,26,多云,2011-08-26,无持续风向
35,微风,25,晴,2011-08-27,无持续风向
35,微风,26,晴,2011-08-28,无持续风向
36,微风,26,晴~多云,2011-08-29,无持续风向
36,微风,26,晴,2011-08-30,无持续风向
35,微风,25,多云~雷阵雨,2011-08-31,无持续风向
29,微风,24,中到大雨~大到暴雨,2011-09-01,无持续风向
30,微风,25,大雨,2011-09-02,无持续风向
31,微风,26,中雨~阵雨,2011-09-03,无持续风向
32,微风,25,阴~多云,2011-09-04,无持续风向
34,微风,26,多云,2011-09-05,无持续风向
33,微风,25,多云,2011-09-06,无持续风向
33,微风,25,阵雨~多云,2011-09-07,无持续风向
35,微风,25,多云,2011-09-08,无持续风向
35,微风,25,多云,2011-09-09,无持续风向
33,微风,25,阵雨~多云,2011-09-10,无持续风向
33,微风,24,雷阵雨~阵雨,2011-09-11,无持续风向
33,微风,24,阵雨~多云,2011-09-12,无持续风向
33,微风,25,多云~阵雨,2011-09-13,无持续风向
33,微风,25,多云,2011-09-14,无持续风向
33,微风,25,雷阵雨~阴,2011-09-15,无持续风向
33,微风,24,多云,2011-09-16,无持续风向
34,微风,24,阵雨,2011-09-17,无持续风向
35,微风,24,多云,2011-09-18,无持续风向
31,微风,21,阵雨~多云,2011-09-19,无持续风向
30,3-4级,20,晴,2011-09-20,北风
29,微风,20,晴,2011-09-21,无持续风向
29,微风,21,晴,2011-09-22,无持续风向
30,微风,21,晴~多云,2011-09-23,无持续风向
29,微风,22,阵雨,2011-09-24,无持续风向
28,微风,23,阵雨~多云,2011-09-25,无持续风向
31,微风,23,多云,2011-09-26,无持续风向
33,微风,24,晴,2011-09-27,无持续风向
34,微风~3-4级,23,晴~阵雨,2011-09-28,无持续风向~东风
28,4-5级,21,中到大雨~大到暴雨,2011-09-29,东北风~东风
30,微风,24,中雨~阵雨,2011-09-30,无持续风向
30,微风,23,多云,2011-10-01,无持续风向
30,微风,22,多云,2011-10-02,无持续风向
26,3-4级,20,阵雨,2011-10-03,东北风
25,3-4级,19,阵雨,2011-10-04,北风
26,微风,20,多云~阵雨,2011-10-05,无持续风向
28,微风,21,多云,2011-10-06,无持续风向
27,微风,21,多云,2011-10-07,无持续风向
30,微风,21,晴,2011-10-08,无持续风向
31,微风,21,晴~多云,2011-10-09,无持续风向
32,微风,22,多云~阵雨,2011-10-10,无持续风向
29,微风,22,阵雨,2011-10-11,无持续风向
27,微风,23,阵雨~中到大雨,2011-10-12,无持续风向
26,微风,22,大雨,2011-10-13,无持续风向
26,微风,20,阵雨~多云,2011-10-14,无持续风向
27,微风,19,多云,2011-10-15,无持续风向
29,微风,18,多云,2011-10-16,无持续风向
29,微风,17,晴,2011-10-17,无持续风向
29,微风,16,晴,2011-10-18,无持续风向
30,微风,18,晴,2011-10-19,无持续风向
29,微风,18,晴,2011-10-20,无持续风向
29,微风,17,晴,2011-10-21,无持续风向
30,微风,19,晴,2011-10-22,无持续风向
30,微风,21,多云,2011-10-23,无持续风向
29,微风,19,多云,2011-10-24,无持续风向
26,微风,17,多云,2011-10-25,无持续风向
26,微风,19,多云,2011-10-26,无持续风向
26,微风,20,多云,2011-10-27,无持续风向
27,微风,18,多云,2011-10-28,无持续风向
27,微风,18,多云,2011-10-29,无持续风向
27,微风,19,多云,2011-10-30,无持续风向
27,微风,18,多云,2011-10-31,无持续风向
28,微风,18,多云,2011-11-01,无持续风向
28,微风,19,多云,2011-11-02,无持续风向
27,微风,19,多云~小雨,2011-11-03,无持续风向
30,微风,22,多云,2011-11-04,无持续风向
30,微风,22,多云,2011-11-05,无持续风向
31,微风,23,多云,2011-11-06,无持续风向
31,微风,21,多云~小雨,2011-11-07,无持续风向
25,微风,18,大雨,2011-11-08,无持续风向
17,4-5级,15,大雨~中雨,2011-11-09,北风
22,3-4级,15,多云,2011-11-10,东北风
23,微风,16,多云,2011-11-11,无持续风向
25,微风,17,晴~多云,2011-11-12,无持续风向
26,微风,16,晴~多云,2011-11-13,无持续风向
27,微风,17,晴~多云,2011-11-14,无持续风向
28,微风,20,多云,2011-11-15,无持续风向
28,微风,19,多云,2011-11-16,无持续风向
27,微风,21,小雨~中雨,2011-11-17,无持续风向
24,微风,21,小雨~小到中雨,2011-11-18,无持续风向
27,微风,17,阴~多云,2011-11-19,无持续风向
26,微风,15,晴,2011-11-20,无持续风向
22,微风,17,多云~阴,2011-11-21,无持续风向
23,微风,16,阴~多云,2011-11-22,无持续风向
25,微风,15,晴,2011-11-23,无持续风向
25,微风,16,晴~多云,2011-11-24,无持续风向
24,微风,16,阴,2011-11-25,无持续风向
22,微风,15,小雨~多云,2011-11-26,无持续风向
25,微风,14,多云,2011-11-27,无持续风向
27,微风,14,晴,2011-11-28,无持续风向
27,微风,16,晴~多云,2011-11-29,无持续风向
21,3-4级,13,多云~阴,2011-11-30,北风
18,4-5级~3-4级,9,多云~晴,2011-12-01,北风
17,3-4级~微风,6,晴,2011-12-02,北风~无持续风向
17,微风,5,晴,2011-12-03,无持续风向
21,微风,10,晴~多云,2011-12-04,无持续风向
22,微风,11,晴~多云,2011-12-05,无持续风向
21,微风,16,阴,2011-12-06,无持续风向
25,微风~3-4级,15,多云~小雨,2011-12-07,无持续风向~北风
15,3-4级,9,阴,2011-12-08,北风
14,4-5级,6,阴~多云,2011-12-09,北风
16,3-4级,4,多云~晴,2011-12-10,北风
16,3-4级~微风,4,晴,2011-12-11,北风~无持续风向
17,微风,8,晴,2011-12-12,无持续风向
20,微风,11,晴~多云,2011-12-13,无持续风向
22,微风,12,多云~阴,2011-12-14,无持续风向
19,3-4级~4-5级,10,多云,2011-12-15,北风
17,4-5级,9,多云,2011-12-16,北风
18,3-4级~微风,8,多云~晴,2011-12-17,北风~无持续风向
18,微风,7,多云~晴,2011-12-18,无持续风向
20,微风,11,晴~多云,2011-12-19,无持续风向
21,微风,13,晴~多云,2011-12-20,无持续风向
20,微风,12,阴,2011-12-21,无持续风向
19,3-4级,10,多云,2011-12-22,北风
16,3-4级,5,晴,2011-12-23,北风
16,微风,5,晴,2011-12-24,无持续风向
16,微风,6,晴,2011-12-25,无持续风向
18,微风,10,多云,2011-12-26,无持续风向
20,微风,10,多云,2011-12-27,无持续风向
22,微风,12,多云,2011-12-28,无持续风向
23,微风,12,多云~阴,2011-12-29,无持续风向
20,3-4级,12,多云,2011-12-30,北风
19,微风,10,多云,2011-12-31,无持续风向
21,微风,10,多云,2012-01-01,无持续风向
18,微风,10,多云,2012-01-02,无持续风向
18,微风~3-4级,8,阴~小雨,2012-01-03,无持续风向~北风
10,3-4级,7,小雨,2012-01-04,北风
7,3-4级,5,小雨,2012-01-05,北风
9,微风,5,小雨~阴,2012-01-06,无持续风向
14,微风,9,阴,2012-01-07,无持续风向
17,微风,9,多云,2012-01-08,无持续风向
19,微风,9,多云,2012-01-09,无持续风向
20,微风,9,多云,2012-01-10,无持续风向
17,微风,11,阴,2012-01-11,无持续风向
14,微风,10,小雨,2012-01-12,无持续风向
15,微风,11,小雨,2012-01-13,无持续风向
17,微风,13,小雨~中到大雨,2012-01-14,无持续风向
16,微风,11,阴~多云,2012-01-16,无持续风向
18,微风,11,阴~多云,2012-01-17,无持续风向
21,微风,12,多云,2012-01-18,无持续风向
20,微风,16,阴,2012-01-19,无持续风向
17,微风,12,小雨,2012-01-20,无持续风向
14,3-4级,7,小雨~小到中雨,2012-01-21,北风
7,3-4级,4,小雨,2012-01-22,北风
7,3-4级,5,小雨,2012-01-23,北风
7,3-4级,5,小雨,2012-01-24,北风
9,3-4级~微风,4,阴,2012-01-25,北风~无持续风向
8,微风,4,小雨~阴,2012-01-26,无持续风向
11,微风,7,阴~多云,2012-01-27,无持续风向
16,微风,11,雾,2012-01-28,无持续风向
13,3-4级,9,阴,2012-01-29,北风
16,微风,8,多云,2012-01-30,无持续风向
18,微风,10,多云,2012-01-31,无持续风向
19,微风,11,多云,2012-02-01,无持续风向
14,3-4级,10,阴,2012-02-02,北风
13,微风,9,小雨~阴,2012-02-03,无持续风向
16,微风,11,阴,2012-02-04,无持续风向
21,微风,14,阴~雾,2012-02-05,无持续风向
23,微风~3-4级,12,小雨,2012-02-06,无持续风向~北风
17,3-4级,8,多云,2012-02-07,北风
14,微风,10,阴,2012-02-08,无持续风向
14,微风,7,阴,2012-02-09,无持续风向
10,3-4级,7,小雨,2012-02-10,北风~东北风
13,微风,6,阴,2012-02-11,无持续风向
16,微风,9,阴,2012-02-12,无持续风向
23,微风,14,多云~阴,2012-02-13,无持续风向
26,微风,18,多云~雾,2012-02-14,无持续风向
26,微风,14,多云~小雨,2012-02-15,无持续风向
14,3-4级,10,小雨,2012-02-16,北风
13,3-4级,8,阴,2012-02-17,北风
16,3-4级,8,阴,2012-02-18,北风
19,微风,10,多云,2012-02-19,无持续风向
19,微风,14,多云,2012-02-20,无持续风向
23,微风,16,阴,2012-02-21,无持续风向
24,微风,18,小雨,2012-02-22,无持续风向
23,微风,19,小雨,2012-02-23,无持续风向
25,微风~3-4级,16,小雨,2012-02-24,无持续风向~东北风
15,3-4级,10,小雨,2012-02-25,北风
12,3-4级,9,阴,2012-02-26,北风
9,微风,6,小雨~小到中雨,2012-02-27,无持续风向
12,微风,7,小雨~阴,2012-02-28,无持续风向
17,微风,14,小雨,2012-02-29,无持续风向
18,微风,12,雾,2012-03-01,无持续风向
23,微风,17,雾,2012-03-02,无持续风向
18,微风,16,阴,2012-03-03,无持续风向
23,微风,19,小雨~中到大雨,2012-03-04,无持续风向
23,微风,19,中雨,2012-03-05,无持续风向
25,微风,22,中雨~小雨,2012-03-06,无持续风向
18,微风,16,小雨,2012-03-07,无持续风向
15,3-4级,11,小雨,2012-03-08,北风
13,3-4级,9,小雨,2012-03-09,北风
13,3-4级,9,阴~小雨,2012-03-10,北风
11,微风,8,小雨,2012-03-11,无持续风向
14,微风,10,阴,2012-03-12,无持续风向
15,微风,11,小雨~阴,2012-03-13,无持续风向
17,微风,13,小雨~阴,2012-03-14,无持续风向
21,微风,16,阴~小雨,2012-03-15,无持续风向
24,微风,18,小雨,2012-03-16,无持续风向
25,微风,20,小雨,2012-03-17,无持续风向
27,微风,20,阴,2012-03-18,无持续风向
24,微风,19,小雨,2012-03-19,无持续风向
24,微风,18,小雨,2012-03-20,无持续风向
24,微风,18,阴,2012-03-21,无持续风向
26,微风,19,阴~阵雨,2012-03-22,无持续风向
22,3-4级,12,小雨~阵雨,2012-03-23,北风
22,3-4级~微风,11,晴,2012-03-24,北风~无持续风向
24,微风,13,晴~多云,2012-03-25,无持续风向
25,微风,12,晴~多云,2012-03-26,无持续风向
26,微风,14,晴~多云,2012-03-27,无持续风向
27,微风,18,晴~多云,2012-03-28,无持续风向
26,微风,18,多云,2012-03-29,无持续风向
28,微风~3-4级,16,多云~阵雨,2012-03-30,无持续风向~北风
25,3-4级,16,多云~晴,2012-03-31,北风
maxtemp,power,mintemp,weather,date,wind
19,微风,10,多云,2011-01-01,无持续风向
19,微风,11,多云,2011-01-02,无持续风向
18,微风,12,多云,2011-01-03,无持续风向
19,微风,8,小雨,2011-01-04,无持续风向
16,微风~3-4级,9,多云,2011-01-05,无持续风向~北风
16,微风,9,晴,2011-01-06,无持续风向
18,微风,10,多云,2011-01-07,无持续风向
16,微风,9,多云,2011-01-08,无持续风向
12,微风,6,阵雨,2011-01-09,无持续风向
9,微风,6,小到中雨~小雨,2011-01-10,无持续风向
10,微风,8,阵雨,2011-01-11,无持续风向
14,微风,7,小雨,2011-01-12,无持续风向
15,微风,10,阵雨~阴,2011-01-13,无持续风向
12,3-4级,5,多云,2011-01-14,东北风
14,微风,9,晴~多云,2011-01-15,无持续风向
14,微风,5,多云~阴,2011-01-16,无持续风向
16,微风,9,多云,2011-01-26,无持续风向
13,3-4级,5,多云,2011-01-29,北风
14,3-4级,5,多云,2011-01-30,北风
16,微风,8,晴~多云,2011-01-31,无持续风向
17,微风,8,多云,2011-02-01,无持续风向
18,微风,10,多云,2011-02-02,无持续风向
21,微风,11,多云,2011-02-03,无持续风向
23,微风,9,晴~多云,2011-02-04,无持续风向
25,微风,10,晴,2011-02-05,无持续风向
25,微风,11,晴~多云,2011-02-06,无持续风向
26,微风,14,多云,2011-02-07,无持续风向
26,微风,13,多云,2011-02-08,无持续风向
24,微风,15,多云,2011-02-09,无持续风向
26,微风,12,多云~小雨,2011-02-10,无持续风向
15,3-4级,10,阴,2011-02-11,北风
14,微风,9,阴~小雨,2011-02-12,无持续风向
10,微风,6,中雨~小雨,2011-02-13,无持续风向
14,微风,7,阴,2011-02-14,无持续风向
9,微风,6,小雨,2011-02-15,无持续风向
11,微风,9,小雨~阴,2011-02-16,无持续风向
14,微风,9,雾,2011-02-17,无持续风向
14,微风,10,阴~小雨,2011-02-18,无持续风向
10,微风,8,小雨,2011-02-19,无持续风向
15,微风,10,阴,2011-02-20,无持续风向
17,微风,14,阴~多云,2011-02-21,无持续风向
19,微风,14,小雨~多云,2011-02-22,无持续风向
20,微风,15,多云~阴,2011-02-23,无持续风向
21,微风,14,多云,2011-02-24,无持续风向
26,微风,14,多云,2011-02-25,无持续风向
25,微风,18,多云,2011-02-26,无持续风向
25,微风,18,多云,2011-02-27,无持续风向
27,微风,17,晴~多云,2011-02-28,无持续风向
25,微风,13,多云,2011-03-01,无持续风向
19,3-4级~微风,12,多云~阴,2011-03-02,北风~无持续风向
22,微风,12,多云,2011-03-03,无持续风向
21,微风,12,多云,2011-03-04,无持续风向
23,微风,15,多云~阴,2011-03-05,无持续风向
23,微风~3-4级,14,阴~小雨,2011-03-06,无持续风向~北风
17,3-4级,12,阴,2011-03-07,北风
19,微风,12,小雨,2011-03-08,无持续风向
16,微风~3-4级,12,小雨,2011-03-09,无持续风向~北风
17,微风,13,小雨~阴,2011-03-10,无持续风向
19,微风,13,多云,2011-03-11,无持续风向
19,微风,15,多云,2011-03-12,无持续风向
25,微风,15,多云,2011-03-13,无持续风向
26,微风,17,多云,2011-03-14,无持续风向
22,4-5级~3-4级,11,多云,2011-03-15,北风
