,maxtemp,power,mintemp,weather,wind
2012-03-07,18,微风,16,小雨,无持续风向
2012-03-08,15,3-4级,11,小雨,北风
2012-03-09,13,3-4级,9,小雨,北风
2012-03-10,13,3-4级,9,阴~小雨,北风
2012-03-11,11,微风,8,小雨,无持续风向
2012-03-12,14,微风,10,阴,无持续风向
2012-03-13,15,微风,11,小雨~阴,无持续风向
2012-03-14,17,微风,13,小雨~阴,无持续风向
2012-03-15,21,微风,16,阴~小雨,无持续风向
2012-03-16,24,微风,18,小雨,无持续风向
2012-03-17,25,微风,20,小雨,无持续风向
2012-03-18,27,微风,20,阴,无持续风向
2012-03-19,24,微风,19,小雨,无持续风向
2012-03-20,24,微风,18,小雨,无持续风向
2012-03-21,24,微风,18,阴,无持续风向
2012-03-22,26,微风,19,阴~阵雨,无持续风向
2012-03-23,22,3-4级,12,小雨~阵雨,北风
2012-03-24,22,3-4级~微风,11,晴,北风~无持续风向
2012-03-25,24,微风,13,晴~多云,无持续风向
2012-03-26,25,微风,12,晴~多云,无持续风向
2012-03-27,26,微风,14,晴~多云,无持续风向
2012-03-28,27,微风,18,晴~多云,无持续风向
2012-03-29,26,微风,18,多云,无持续风向
2012-03-30,28,微风~3-4级,16,多云~阵雨,无持续风向~北风
2012-03-31,25,3-4级,16,多云~晴,北风
2012-04-01,25,小于3级,23,中雨,南风
2012-04-02,27,小于3级,21,中雨,南风
2012-04-03,24,小于3级,24,中雨,南风
2012-04-04,27,小于3级,21,中雨,南风
2012-04-05,27,小于3级,21,中雨,南风
2012-04-06,26,小于3级,22,中雨,南风
2012-04-07,27,小于3级,21,中雨,南风
2012-04-08,25,小于3级,23,中雨,南风
2012-04-09,27,小于3级,21,中雨,南风
2012-04-10,26,小于3级,22,中雨,南风
2012-04-11,25,小于3级,23,中雨,南风
2012-04-12,26,小于3级,22,中雨,南风
2012-04-13,29,小于3级,23,雷阵雨转阵雨,东风
2012-04-14,30,小于3级,23,多云转雷阵雨,东南风
2012-04-15,26,小于3级,23,暴雨,南风
2012-04-16,28,小于3级,23,雷阵雨转中到大雨,北风
2012-04-17,25,小于3级,22,中雨转大雨,东南风
2012-04-18,24,小于3级,20,暴雨,南风
2012-04-19,24,小于3级,21,暴雨,东南风
2012-04-20,24,小于3级,21,暴雨,西北风
2012-04-21,26,小于3级,19,阴转多云,西北风
2012-04-22,31,小于3级,21,多云,南风
2012-04-23,29,小于3级,23,阵雨转雷阵雨,东南风
2012-04-24,25,小于3级,22,阵雨转暴雨,南风
2012-04-25,28,3-4级转小于3级,22,雷阵雨转多云,北风
2012-04-26,28,小于3级,23,多云转阵雨,北风
2012-04-27,24,小于3级,20,大雨转中雨,南风
2012-04-28,29,小于3级,22,雷阵雨,东南风
2012-04-29,30,小于3级,23,多云转雷阵雨,东南风
2012-04-30,31,小于3级,25,雷阵雨转中到大雨,东南风
2012-05-01,32,小于3级,25,雷阵雨,东南风
2012-05-02,32,小于3级,25,阵雨转多云,北风
2012-05-03,31,小于3级,25,雷阵雨,东北风
2012-05-04,33,小于3级,24,雷阵雨,南风
2012-05-05,33,小于3级,24,多云,东北风
2012-05-06,33,小于3级,24,雷阵雨转多云,东风
2012-05-07,34,小于3级,25,多云转晴,东南风
2012-05-08,35,小于3级,26,晴,东南风
2012-05-09,32,小于3级,26,多云转雷阵雨,东风
2012-05-10,31,小于3级,25,中雨转雷阵雨,东南风
2012-05-11,30,小于3级,25,雷阵雨,东风
2012-05-12,32,小于3级,25,雷阵雨,南风
2012-05-13,30,小于3级,25,雷阵雨转暴雨,北风
2012-05-14,30,小于3级,25,大雨转雷阵雨,南风
2012-05-15,33,小于3级,24,雷阵雨,北风
2012-05-16,30,小于3级,24,雷阵雨,东北风
2012-05-17,29,小于3级,25,大雨,东北风
2012-05-18,31,小于3级,24,阵雨转大雨,东风
2012-05-19,29,小于3级,24,中雨转雷阵雨,北风
2012-05-20,34,小于3级,24,多云转晴,北风
2012-05-21,32,小于3级,23,多云,东北风
2012-05-22,31,小于3级,24,多云,北风
2012-05-23,32,小于3级,23,多云,东南风
2012-05-24,32,小于3级,22,多云,北风
2012-05-25,31,小于3级,24,多云转雷阵雨,东风
2012-05-26,29,小于3级,23,雷阵雨转大雨,南风
2012-05-27,31,小于3级,24,雷阵雨,东北风
2012-05-28,32,小于3级,25,阵雨转多云,东南风
2012-05-29,30,小于3级,24,阵雨转中雨,南风
2012-05-30,31,小于3级,24,阵雨转多云,东南风
2012-05-31,31,小于3级,24,多云,东风
2012-06-01,31,小于3级,23,多云,西北风
2012-06-02,31,小于3级,24,多云,东北风
2012-06-03,32,小于3级,24,多云,西南风
2012-06-04,31,小于3级,24,多云,南风
2012-06-05,33,小于3级,24,多云,南风
2012-06-06,35,小于3级,26,多云,南风
2012-06-07,35,小于3级,25,多云,东南风
2012-06-08,33,小于3级,25,阵雨,南风
2012-06-09,34,小于3级,27,多云,西南风
2012-06-10,33,小于3级,26,雷阵雨,南风
2012-06-11,30,小于3级,25,暴雨,西北风
2012-06-12,32,小于3级,26,阵雨转雷阵雨,西南风
2012-06-13,31,小于3级,25,阵雨转雷阵雨,东南风
2012-06-14,33,小于3级,24,阵雨,南风
2012-06-15,32,小于3级,25,雷阵雨,西南风
2012-06-16,29,小于3级,24,大雨转暴雨,东风
2012-06-17,29,小于3级,24,中雨转中到大雨,东南风
2012-06-18,32,3-4级转小于3级,26,阵雨转多云,东北风
2012-06-19,34,小于3级,26,多云转阵雨,北风
2012-06-20,29,小于3级,25,雷阵雨转大雨,西南风
2012-06-21,30,小于3级,25,暴雨转中到大雨,东南风
2012-06-22,31,小于3级,25,阵雨转中雨,东北风
2012-06-23,31,小于3级,25,雷阵雨,东风
2012-06-24,31,小于3级,25,中雨,东南风
2012-06-25,32,小于3级,26,雷阵雨,南风
2012-06-26,33,小于3级,26,阵雨转多云,东南风
2012-06-27,34,小于3级,26,多云,南风
2012-06-28,35,小于3级转3-4级,25,多云,南风
2012-06-29,29,3-4级转5-6级,24,阵雨转暴雨,东风
2012-06-30,32,3-4级转小于3级,25,阵雨,东风
2012-07-01,35,小于3级,25,多云,东南风
2012-07-02,34,小于3级,24,多云,南风
2012-07-03,34,小于3级,24,多云,南风
2012-07-04,33,小于3级,24,多云转雷阵雨,东北风
2012-07-05,32,小于3级,25,阵雨,东南风
2012-07-06,33,小于3级,25,阵雨,西南风
2012-07-07,33,小于3级,25,阵雨,东南风
2012-07-08,34,小于3级,25,多云,南风
2012-07-09,35,小于3级,26,晴,南风
2012-07-10,35,小于3级,26,晴,东南风
2012-07-11,35,小于3级,26,晴,东南风
2012-07-12,34,小于3级,26,晴转多云,东南风
2012-07-13,35,小于3级,26,多云转阵雨,东南风
2012-07-14,35,小于3级,26,多云,南风
2012-07-15,35,小于3级,27,多云转阵雨,南风
2012-07-16,34,小于3级,26,多云转雷阵雨,东南风
2012-07-17,34,小于3级,27,多云转雷阵雨,东南风
2012-07-18,34,小于3级,26,多云,西南风
2012-07-19,35,小于3级,25,多云转晴,西风
2012-07-20,35,小于3级,26,多云转晴,北风
2012-07-21,35,小于3级转3-4级,26,多云转雷阵雨,西北风
2012-07-22,32,4-5级,25,中雨,东风
2012-07-23,29,4-5级转5-6级,25,大雨转暴雨,东北风
2012-07-24,28,4-5级转3-4级,25,暴雨,东风
2012-07-25,28,3-4级转小于3级,24,暴雨转大雨,东南风
2012-07-26,28,3-4级转小于3级,24,大雨,东风
2012-07-27,29,小于3级,25,阵雨,东北风
2012-07-28,28,小于3级,24,阵雨转多云,东北风
2012-07-29,33,小于3级,24,多云,西风
2012-07-30,35,小于3级,24,晴,西北风
2012-07-31,36,小于3级,24,晴,北风
2012-08-01,37,小于3级,26,晴,北风
2012-08-02,36,小于3级,26,晴转多云,北风
2012-08-03,33,小于3级,26,阵雨,西北风
2012-08-04,33,小于3级,25,阵雨,北风
2012-08-05,32,小于3级,25,多云,北风
2012-08-06,33,小于3级,25,多云,北风
2012-08-07,35,小于3级,25,多云,东北风
2012-08-08,33,小于3级,25,多云转雷阵雨,北风
2012-08-09,35,小于3级,25,多云,南风
2012-08-10,35,小于3级,26,多云,西南风
2012-08-11,33,小于3级,26,多云转雷阵雨,西北风
2012-08-12,32,小于3级,25,雷阵雨,北风
2012-08-13,31,小于3级,25,阵雨,东北风
2012-08-14,35,小于3级,25,多云,南风
2012-08-15,35,小于3级转3-4级,25,多云转雷阵雨,北风
2012-08-16,32,4-5级,25,雷阵雨转大雨,东北风
2012-08-17,33,3-4级转小于3级,25,雷阵雨,东南风
2012-08-18,33,小于3级,26,阵雨,西风
2012-08-19,35,小于3级,25,多云,北风
2012-08-20,35,小于3级,26,多云,东北风
2012-08-21,34,小于3级,25,雷阵雨,东北风
2012-08-22,33,小于3级,25,雷阵雨转多云,东北风
2012-08-23,35,小于3级,25,多云,北风
2012-08-24,34,小于3级,25,多云,北风
2012-08-25,33,3-4级,26,多云,北风
2012-08-26,35,小于3级,26,晴,北风
2012-08-27,35,小于3级,24,多云转晴,北风
2012-08-28,34,小于3级,27,晴转多云,北风
2012-08-29,34,小于3级,25,多云,东北风
2012-08-30,34,小于3级,26,多云转雷阵雨,北风
2012-08-31,33,小于3级,25,多云转雷阵雨,东北风
2012-09-01,32,小于3级,25,雷阵雨,东风
2012-09-02,31,小于3级,24,雷阵雨,南风
2012-09-03,33,小于3级,24,雷阵雨转多云,北风
2012-09-04,33,小于3级,25,雷阵雨转多云,东北风
2012-09-05,33,小于3级,24,多云,北风
2012-09-06,33,小于3级,24,多云,西北风
2012-09-07,33,小于3级,24,雷阵雨,西北风
2012-09-08,34,小于3级,24,多云,北风
2012-09-09,35,小于3级,25,多云,南风
2012-09-10,34,小于3级,25,多云,西北风
2012-09-11,33,小于3级,24,多云,南风
2012-09-12,31,小于3级转3-4级,25,多云转雷阵雨,东北风
2012-09-13,30,3-4级,22,阵雨转阴,北风
2012-09-14,30,3-4级,21,多云转晴,东北风
2012-09-15,30,3-4级,20,晴,北风
2012-09-16,30,3-4级,20,晴,北风
2012-09-17,31,3-4级转小于3级,19,晴,北风
2012-09-18,31,小于3级,21,多云,西北风
2012-09-19,31,小于3级,23,多云,北风
2012-09-20,30,小于3级,23,多云,西北风
2012-09-21,32,小于3级,23,多云,东北风
2012-09-22,32,小于3级,23,多云转阵雨,南风
2012-09-23,31,小于3级,25,多云,南风
2012-09-24,31,小于3级,24,多云,西南风
2012-09-25,31,小于3级,23,多云,北风
2012-09-26,31,小于3级,23,多云,东北风
2012-09-27,32,3-4级,23,晴,北风
2012-09-28,30,3-4级,22,晴,北风
2012-09-29,30,3-4级转小于3级,20,晴,西北风
2012-09-30,30,3-4级,19,晴,北风
2012-10-01,30,3-4级,19,晴,北风
2012-10-02,31,小于3级,18,晴,北风
2012-10-03,31,小于3级,19,晴,北风
2012-10-04,31,小于3级,20,晴,北风
2012-10-05,31,小于3级,19,晴,北风
2012-10-06,31,小于3级,20,晴,西北风
2012-10-07,31,小于3级,22,晴,北风
2012-10-08,31,小于3级,22,晴,西北风
2012-10-09,31,小于3级,20,晴,北风
2012-10-10,30,小于3级,21,晴,北风
2012-10-11,30,小于3级,17,晴,北风
2012-10-12,31,小于3级,18,晴,北风
2012-10-13,30,小于3级,19,晴,北风
2012-10-14,30,小于3级,21,晴,北风
2012-10-15,31,小于3级,22,晴,北风
2012-10-16,28,小于3级转3-4级,21,多云转阴,北风
2012-10-17,28,3-4级转小于3级,18,多云转晴,北风
2012-10-18,28,3-4级转小于3级,18,多云转晴,北风
2012-10-19,29,小于3级,18,晴,西风
2012-10-20,29,小于3级,18,晴,西北风
2012-10-21,29,小于3级,19,晴,北风
2012-10-22,29,3-4级,19,多云,北风
2012-10-23,30,小于3级,19,晴,西南风
2012-10-24,30,小于3级,19,晴,北风
2012-10-25,30,小于3级,20,晴,北风
2012-10-26,28,小于3级,22,多云转阵雨,北风
2012-10-27,28,小于3级,22,阴转多云,东北风
2012-10-28,29,小于3级,21,多云,北风
2012-10-29,24,小于3级转3-4级,18,多云转大雨,北风
2012-10-30,22,3-4级,16,阴转多云,北风
2012-10-31,24,3-4级转小于3级,13,晴,北风
2012-11-01,25,小于3级,12,晴,北风
2012-11-02,26,小于3级,14,晴转多云,北风
2012-11-03,25,小于3级转3-4级,17,阴转多云,北风
2012-11-04,25,小于3级,16,多云转晴,东北风
2012-11-05,26,小于3级,15,多云转晴,北风
2012-11-06,26,小于3级,17,晴转多云,北风
2012-11-07,25,小于3级,18,多云,东南风
2012-11-08,26,小于3级,21,多云,东风
2012-11-09,27,小于3级转3-4级,22,多云转小雨,南风
2012-11-10,22,3-4级,16,小雨,北风
2012-11-11,23,3-4级转小于3级,15,多云,北风
2012-11-12,23,小于3级,16,多云,北风
2012-11-13,27,小于3级,15,晴,北风
2012-11-14,27,小于3级,18,多云,南风
2012-11-15,25,小于3级,19,多云转大雨,北风
2012-11-16,20,3-4级,15,大雨转阴,北风
2012-11-17,22,小于3级,14,多云,北风
2012-11-18,23,小于3级,16,多云,北风
2012-11-19,26,小于3级,19,多云,北风
2012-11-20,24,小于3级,19,小雨,东风
2012-11-21,26,小于3级,20,小雨,东风
2012-11-22,23,小于3级转3-4级,16,小雨转中雨,东南风
2012-11-23,22,小于3级,13,多云,北风
2012-11-24,21,小于3级,15,阴,东北风
2012-11-25,18,3-4级,13,中雨,西北风
2012-11-26,15,4-5级转3-4级,11,中雨转小雨,北风
2012-11-27,15,小于3级,11,小雨转中雨,北风
2012-11-28,16,小于3级,13,暴雨转中雨,北风
2012-11-29,18,小于3级,15,小雨,东北风
2012-11-30,19,小于3级,16,小雨,北风
2012-12-01,16,3-4级转小于3级,13,中雨转小雨,北风
2012-12-02,16,小于3级转3-4级,11,多云转小雨,北风
2012-12-03,16,小于3级,11,阴转小雨,北风
2012-12-04,16,小于3级,11,小雨,北风
2012-12-05,18,小于3级,9,多云,北风
2012-12-06,21,小于3级,12,多云转晴,北风
2012-12-07,22,小于3级,12,多云,北风
2012-12-08,21,小于3级转3-4级,13,多云,北风
2012-12-09,21,小于3级转3-4级,13,多云,北风
2012-12-10,18,小于3级,11,多云,北风
2012-12-11,18,小于3级,11,多云,北风
2012-12-12,21,小于3级,13,多云,西北风
2012-12-13,23,小于3级,16,多云,北风
2012-12-14,24,小于3级,16,多云,北风
2012-12-15,25,小于3级,19,多云转阴,北风
2012-12-16,22,3-4级,17,多云,北风
2012-12-17,18,3-4级,12,小雨,北风
2012-12-18,14,3-4级转小于3级,7,多云,北风
2012-12-19,17,小于3级,11,小雨,东南风
2012-12-20,22,小于3级,15,阴,东南风
2012-12-21,17,4-5级转3-4级,10,小雨,北风
2012-12-22,13,4-5级转3-4级,8,阴转多云,北风
2012-12-23,14,3-4级转小于3级,4,晴,北风
2012-12-24,18,小于3级,9,多云,北风
2012-12-25,19,小于3级,10,多云转阴,北风
2012-12-26,17,小于3级,13,小雨转中雨,北风
2012-12-27,18,小于3级,12,小雨转阴,北风
2012-12-28,18,小于3级转4-5级,8,多云转小雨,北风
2012-12-29,12,4-5级转3-4级,5,阴转多云,北风
2012-12-30,13,3-4级,3,晴,北风
2012-12-31,15,小于3级,4,晴,北风
2013-01-01,16,小于3级,7,多云,北风
2013-01-02,14,小于3级转3-4级,9,阴,北风
2013-01-03,11,3-4级,6,阴转多云,北风
2013-01-04,13,小于3级,6,多云,北风
2013-01-05,13,小于3级,5,阴,北风
2013-01-06,15,小于3级,7,阴转多云,北风
2013-01-07,15,小于3级,9,多云转阴,北风
2013-01-08,14,3-4级,9,阴,北风
2013-01-09,15,小于3级,7,多云,北风
2013-01-10,15,小于3级,9,阴,北风
2013-01-11,15,小于3级,10,多云转阴,北风
2013-01-12,20,小于3级,11,阴转晴,北风
2013-01-13,18,小于3级,8,晴,北风
2013-01-14,20,小于3级,8,晴,北风
2013-01-15,20,小于3级,10,晴,北风
2013-01-16,18,3-4级,12,多云,北风
2013-01-17,16,小于3级,8,晴,东北风
2013-01-18,18,小于3级,7,多云转晴,西北风
2013-01-19,21,小于3级,12,多云,北风
2013-01-20,21,小于3级,15,多云,北风
2013-01-21,21,小于3级,16,阴,北风
2013-01-22,25,小于3级,12,多云,北风
2013-01-23,23,小于3级,13,多云,北风
2013-01-24,21,小于3级,13,阴转多云,东北风
2013-01-25,21,小于3级,11,多云转阴,北风
2013-01-26,22,小于3级,12,多云转晴,北风
2013-01-27,23,小于3级,10,晴转多云,北风
2013-01-28,22,小于3级,10,多云转晴,西北风
2013-01-29,23,小于3级,12,晴转多云,北风
2013-01-30,23,小于3级,13,多云,东北风
2013-01-31,25,小于3级,15,多云,南风
2013-02-01,25,小于3级,15,多云转阴,北风
2013-02-02,23,小于3级,17,小雨,南风
2013-02-03,23,小于3级,18,阴转小雨,北风
2013-02-04,24,小于3级,18,小雨,北风
2013-02-05,25,小于3级,18,多云转阴,北风
2013-02-06,25,小于3级,19,阴,东南风
2013-02-07,21,3-4级转4-5级,10,小雨,东南风
2013-02-08,13,4-5级转3-4级,7,阴,北风
2013-02-09,17,小于3级,9,阴转多云,北风
2013-02-10,19,小于3级,12,多云,北风
2013-02-11,21,小于3级,15,阴,北风
2013-02-12,20,3-4级转小于3级,11,多云,北风
2013-02-13,22,小于3级,14,阴,北风
2013-02-14,21,小于3级,15,小雨转阴,北风
2013-02-15,23,小于3级,13,阴转多云,北风
2013-02-16,23,小于3级,14,多云,北风
2013-02-17,26,小于3级,17,阴转多云,东南风
2013-02-18,22,小于3级转3-4级,13,多云转阴,北风
2013-02-19,16,3-4级,12,阴,北风
2013-02-20,19,小于3级,12,多云,北风
2013-02-21,22,小于3级转3-4级,12,多云,西北风
2013-02-22,22,3-4级转小于3级,11,晴,北风
2013-02-23,23,小于3级,13,多云,西北风
2013-02-24,23,小于3级,17,多云,北风
2013-02-25,25,小于3级,19,阴,南风
2013-02-26,25,小于3级,19,阴,南风
2013-02-27,25,小于3级,19,阴,北风
2013-02-28,25,小于3级,20,阴转小雨,东南风
2013-03-01,19,3-4级,12,小雨,东风
2013-03-02,17,4-5级转3-4级,11,阴转多云,北风
2013-03-03,19,小于3级,8,多云转晴,西北风
2013-03-04,23,小于3级,10,晴转多云,北风
2013-03-05,25,小于3级,11,晴,北风
2013-03-06,27,小于3级,11,晴,北风
2013-03-07,28,小于3级,13,晴,北风
2013-03-08,28,小于3级,14,晴,北风
2013-03-09,27,小于3级,13,多云,东南风
2013-03-10,28,小于3级,15,晴,北风
2013-03-11,26,小于3级,16,晴转多云,南风
2013-03-12,25,小于3级,18,阴,东南风
2013-03-13,24,小于3级,16,小雨转阴,西北风
2013-03-14,25,小于3级,18,多云,西风
2013-03-15,25,小于3级,15,多云,北风
2013-03-16,26,小于3级,18,阴,北风
2013-03-17,25,小于3级,19,阴,东南风
2013-03-18,26,小于3级,20,阴转阵雨,西北风
2013-03-19,24,小于3级,21,阵雨转中雨,南风
2013-03-20,24,小于3级,19,阵雨转阴,北风
2013-03-21,26,小于3级,19,多云转阴,东南风
2013-03-22,27,小于3级,20,多云转雷阵雨,东风
2013-03-23,25,小于3级,20,雷阵雨,南风
2013-03-24,25,小于3级,19,多云转雷阵雨,西北风
2013-03-25,22,小于3级,18,中雨转暴雨,东南风
2013-03-26,22,小于3级,17,中雨转阴,北风
2013-03-27,24,小于3级,18,阴转中雨,北风
2013-03-28,24,小于3级,17,阵雨转多云,西南风
2013-03-29,22,小于3级,18,阴转雷阵雨,北风
2013-03-30,21,小于3级,17,暴雨转雷阵雨,东北风
2013-03-31,22,小于3级,18,阴转雷阵雨,北风
2013-04-01,22,小于3级,18,阵雨转中雨,西北风
2013-04-02,22,小于3级,20,大雨转中雨,东北风
2013-04-03,21,小于3级,18,中雨转暴雨,东南风
2013-04-04,23,小于3级,19,大雨转暴雨,东风
2013-04-05,21,3-4级,15,阵雨转多云,西北风
2013-04-06,21,3-4级转小于3级,14,多云,北风
2013-04-07,21,小于3级,15,多云,北风
2013-04-08,20,小于3级,16,中雨转大雨,北风
2013-04-09,20,3-4级,14,雷阵雨转阴,北风
2013-04-10,18,小于3级,14,阵雨,北风
2013-04-11,19,小于3级,13,阵雨转阴,北风
2013-04-12,23,小于3级,16,多云,北风
2013-04-13,24,小于3级,17,阴转多云,北风
2013-04-14,28,小于3级,17,多云,北风
2013-04-15,27,小于3级,18,多云转阴,南风
2013-04-16,24,小于3级,20,雷阵雨,东风
2013-04-17,28,小于3级,22,雷阵雨转阵雨,东风
2013-04-18,28,小于3级,23,雷阵雨,东南风
2013-04-19,27,小于3级,23,中雨转雷阵雨,东南风
2013-04-20,25,小于3级,19,阵雨转多云,西南风
2013-04-21,23,3-4级转小于3级,18,阴,东南风
2013-04-22,27,小于3级,19,阴转多云,东南风
2013-04-23,28,小于3级,21,阴转阵雨,南风
2013-04-24,26,小于3级,22,阵雨转雷阵雨,东南风
2013-04-25,23,小于3级,19,暴雨,北风
2013-04-26,24,小于3级,19,雷阵雨,北风
2013-04-27,27,小于3级,20,多云,东南风
2013-04-28,28,小于3级,22,阵雨,东北风
2013-04-29,29,小于3级,22,雷阵雨转暴雨,北风
2013-04-30,26,小于3级,20,阴转多云,西南风
2013-05-01,26,小于3级,20,多云转阴,东南风
2013-05-02,25,小于3级,19,阴,东南风
2013-05-03,26,小于3级,19,阵雨转阴,东北风
